crash_date,crash_time,borough,zip_code,latitude,longitude,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,location.latitude,location.longitude,location.human_address,on_street_name,off_street_name,vehicle_type_code2,contributing_factor_vehicle_3,vehicle_type_code_3
2025-09-30T00:00:00.000,18:50,BROOKLYN,11205,40.694077,-73.96427,106       GRAND AVE,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4846522,Box Truck,40.694077,-73.96427,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Sedan,,
2025-09-30T00:00:00.000,15:46,BRONX,10459,40.83238,-73.8927,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,4846505,Sedan,40.83238,-73.8927,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",JENNINGS ST,LOUIS NINE BLVD,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,10:10,BRONX,10473,40.817173,-73.86172,,1,0,0,0,0,0,0,0,Passing Too Closely,Driver Inattention/Distraction,4846290,Standing S,40.817173,-73.86172,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",SOUNDVIEW AVE,RANDALL AVE,,,
2025-09-30T00:00:00.000,19:33,BROOKLYN,11207,40.675735,-73.89685,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,4846414,Sedan,40.675735,-73.89685,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",ATLANTIC AVE,PENNSYLVANIA AVE,Sedan,,
2025-09-30T00:00:00.000,17:49,MANHATTAN,10007,40.713135,-74.00406,,1,0,0,0,0,0,0,0,Unspecified,Unspecified,4846582,Van,40.713135,-74.00406,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",CENTRE ST,CHAMBERS ST,Standing S,,
2025-09-30T00:00:00.000,13:40,MANHATTAN,10022,40.754784,-73.96528,938       1 AVE,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,4846600,Van,40.754784,-73.96528,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Station Wagon/Sport Utility Vehicle,Unspecified,Station Wagon/Sport Utility Vehicle
2025-09-30T00:00:00.000,13:40,QUEENS,11433,0.0000000,0.0000000,160-25    ARCHER AVE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4846776,Station Wagon/Sport Utility Vehicle,0.0,0.0,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,,Sedan,,
2025-09-30T00:00:00.000,9:30,BROOKLYN,11205,40.69412,-73.96016,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Outside Car Distraction,4846557,Sedan,40.69412,-73.96016,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",MYRTLE AVE,TAAFFE PL,Standing S,,
2025-09-30T00:00:00.000,9:07,,,40.82383,-73.87624,,0,0,0,0,0,0,0,0,Other Vehicular,Following Too Closely,4846485,Sedan,40.82383,-73.87624,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",BRUCKNER EXPRESSWAY,,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,7:56,BRONX,10455,40.813095,-73.89826,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4846619,Station Wagon/Sport Utility Vehicle,40.813095,-73.89826,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",BRUCKNER BLVD,LEGGETT AVE,Sedan,,
2025-09-30T00:00:00.000,23:24,BRONX,10457,40.84947,-73.89155,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4846750,Station Wagon/Sport Utility Vehicle,40.84947,-73.89155,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",E 180 ST,ARTHUR AVE,Station Wagon/Sport Utility Vehicle,,
2025-09-30T00:00:00.000,15:53,BROOKLYN,11215,40.670265,-73.99762,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4846962,Sedan,40.670265,-73.99762,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",HAMILTON AVE,HAMILTON PL,,,
