crash_date,crash_time,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,latitude,longitude,location.latitude,location.longitude,on_street_name,off_street_name,borough,zip_code,contributing_factor_vehicle_3,vehicle_type_code_3,cross_street_name,contributing_factor_vehicle_4,vehicle_type_code_4,contributing_factor_vehicle_5,vehicle_type_code_5
2012-07-02T00:00:00.000,18:46,0,0,0,0,0,0,0,0,Unspecified,Unspecified,293165,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,,,,,,,,P/L OF 2660 HYLAN BLVD                  ,,,,
2012-07-02T00:00:00.000,20:45,1,0,0,0,0,0,1,0,Unspecified,Unspecified,160113,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6697873,-73.9165845,40.6697873,-73.9165845,EAST NEW YORK AVENUE            ,STRAUSS STREET                  ,BROOKLYN,11212,,,,,,,
2012-07-02T00:00:00.000,22:40,0,0,0,0,0,0,0,0,Unspecified,Unspecified,155808,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6560853,-74.0058422,40.6560853,-74.0058422,35 STREET                       ,3 AVENUE                        ,BROOKLYN,11232,,,,,,,
2012-07-02T00:00:00.000,8:34,1,0,0,0,0,0,1,0,Unspecified,Unspecified,80832,PASSENGER VEHICLE,PASSENGER VEHICLE,40.8152671,-73.8597189,40.8152671,-73.8597189,LACOMBE AVENUE                  ,SOUNDVIEW AVENUE                ,BRONX,10473,,,,,,,
2012-07-02T00:00:00.000,18:30,0,0,0,0,0,0,0,0,Lost Consciousness,Backing Unsafely,65002,PASSENGER VEHICLE,PASSENGER VEHICLE,40.8236470,-73.9438444,40.823647,-73.9438444,WEST 145 STREET                 ,EDGECOMBE AVENUE                ,MANHATTAN,10030,,,,,,,
2012-07-02T00:00:00.000,19:14,0,0,0,0,0,0,0,0,Unspecified,Unspecified,26094,PASSENGER VEHICLE,TAXI,40.7503184,-73.9911106,40.7503184,-73.9911106,7 AVENUE                        ,WEST 33 STREET                  ,MANHATTAN,10001,,,,,,,
2012-07-02T00:00:00.000,20:16,0,0,0,0,0,0,0,0,Unspecified,Unspecified,88561,AMBULANCE,PASSENGER VEHICLE,40.8433759,-73.8368899,40.8433759,-73.8368899,WESTCHESTER AVENUE              ,MIDDLETOWN ROAD                 ,BRONX,10461,,,,,,,
2012-07-02T00:00:00.000,17:00,0,0,0,0,0,0,0,0,Unspecified,Unspecified,102767,PASSENGER VEHICLE,UNKNOWN,40.8627206,-73.8408229,40.8627206,-73.8408229,MICKLE AVENUE                   ,MACE AVENUE                     ,BRONX,10469,,,,,,,
2012-07-02T00:00:00.000,12:31,0,0,0,0,0,0,0,0,Unspecified,Unspecified,63610,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,40.8058380,-73.9469009,40.805838,-73.9469009,WEST 122 STREET                 ,LENOX AVENUE                    ,MANHATTAN,10027,,,,,,,
2012-07-02T00:00:00.000,15:29,0,0,0,0,0,0,0,0,Unspecified,Unspecified,170758,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,,HAMILTON AVENUE                 ,COURT STREET                    ,,,,,,,,,
2012-07-02T00:00:00.000,10:20,0,0,0,0,0,0,0,0,Unspecified,Unspecified,94877,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,40.8954288,-73.8446221,40.8954288,-73.8446221,BAYCHESTER AVENUE               ,BUSSING AVENUE                  ,BRONX,10466,,,,,,,
2012-07-02T00:00:00.000,0:30,0,0,0,0,0,0,0,0,Unspecified,Unspecified,163382,PASSENGER VEHICLE,PASSENGER VEHICLE,40.6585778,-73.8906229,40.6585778,-73.8906229,PENNSYLVANIA AVENUE             ,LINDEN BOULEVARD                ,BROOKLYN,11207,,,,,,,
2012-07-02T00:00:00.000,9:35,0,0,0,0,0,0,0,0,Unspecified,Unspecified,66343,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,40.8266254,-73.9391482,40.8266254,-73.9391482,8 AVENUE                        ,WEST 151 STREET                 ,MANHATTAN,10039,,,,,,,
2012-07-02T00:00:00.000,16:30,0,0,0,0,0,0,0,0,Unspecified,Unspecified,238650,OTHER,PASSENGER VEHICLE,40.7395747,-73.8922257,40.7395747,-73.8922257,QUEENS BOULEVARD                ,72 STREET                       ,QUEENS,11377,Unspecified,SPORT UTILITY / STATION WAGON,,,,,
